task,group,icl_index,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
prev_item,train,3,5.9019,12.7218,-4.94918,3.48863,12.0893,4.17078,9.65153,16.4106,-4.76759,4.27909
prev_item,train,4,7.6017,11.3618,-5.14918,3.72051,14.546,5.08849,11.0264,17.7393,-5.68519,4.77318
prev_item,train,5,8.19729,11.5974,-5.37003,4.31001,14.6964,5.09923,11.6166,17.4162,-5.50583,4.07487
prev_item,train,6,8.10177,12.2967,-5.46893,4.61978,14.4566,4.87085,11.4233,16.8034,-5.68263,4.13181
prev_item,train,7,8.2433,13.1836,-5.36277,4.67381,14.0808,5.07267,11.7456,16.708,-5.40164,3.87287
prev_item,train,8,8.47581,12.7704,-5.37281,4.46324,14.9395,5.22727,12.5002,16.7226,-5.36244,3.92073
prev_item,train,9,8.47237,13.0703,-5.07804,4.33965,14.5124,5.24635,12.2896,16.4377,-5.19878,3.55279
prev_item,train,10,8.57613,13.206,-4.99608,4.1194,15.1479,5.54216,12.6629,15.9864,-5.26228,3.61059
sentiment,train,1,-1.67366,0.718464,10.1035,-11.2053,0.111226,-18.2221,3.69501,11.6129,2.12874,-2.52051
sentiment,train,2,-10.1901,1.80809,22.5334,-14.8273,7.43197,-23.1238,4.06285,8.33255,-0.112097,-3.11207
sentiment,train,3,-16.1833,-0.683084,28.4693,-15.4791,10.3008,-26.4051,2.14044,6.09024,-1.14183,-3.79485
sentiment,train,4,-18.6597,-1.79394,31.7388,-15.8031,12.3758,-27.4684,1.48755,4.8033,-1.44843,-4.21699
sentiment,train,5,-19.6882,-2.22669,32.9842,-16.4574,12.8562,-28.0906,1.45812,4.16104,-1.54082,-4.51676
sentiment,train,6,-20.5849,-2.49692,33.7593,-16.945,13.3808,-28.1048,1.27715,3.59766,-1.62742,-4.65742
sentiment,train,7,-20.7433,-2.57706,34.4456,-17.0921,13.6466,-27.9963,1.39308,3.21092,-1.44044,-4.6923
sentiment,train,8,-20.8674,-2.5338,34.9934,-17.5336,13.9238,-27.9363,1.74079,3.19649,-1.26934,-4.76383
sentiment,train,9,-21.1752,-2.85357,34.9556,-17.7096,13.9023,-28.094,1.46281,2.8477,-1.41811,-4.77102
sentiment,train,10,-21.2647,-2.78334,35.0375,-17.9332,13.8077,-27.921,1.66258,2.93193,-1.22747,-4.73896
singular-plural,train,1,13.1194,-5.83644,1.62278,2.50032,0.246168,5.54419,3.4104,-0.139037,7.09844,1.61561
singular-plural,train,2,20.6589,-9.19879,6.48133,3.09542,6.22074,9.50322,4.77052,-7.61301,7.86376,3.33038
singular-plural,train,3,23.6694,-10.1701,8.77014,4.77067,9.43284,10.0895,4.94969,-13.2375,9.02332,3.05755
singular-plural,train,4,24.4484,-9.88679,9.51146,5.52838,10.5118,10.446,4.97466,-15.7319,9.77285,3.00096
singular-plural,train,5,25.2127,-9.46913,9.63373,5.44185,10.916,10.5859,5.47516,-17.4145,10.4016,3.0748
singular-plural,train,6,25.468,-9.33729,9.8427,5.41586,11.2634,10.783,5.68746,-18.4628,10.9013,2.898
singular-plural,train,7,25.8068,-8.89847,10.0424,5.26736,11.2277,10.5023,5.69536,-19.0147,11.0407,2.89817
singular-plural,train,8,25.5174,-8.83152,10.0639,5.10865,11.1555,10.9431,6.09143,-19.5141,11.086,2.59477
singular-plural,train,9,25.8384,-8.82077,10.1338,4.80529,11.2865,10.8803,6.03887,-19.7524,11.58,2.54601
